@relation InstanceResultListener

@attribute Key_Dataset {hepatitis}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.rules.JRip,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'','-F 3 -N 2.0 -O 2 -S 1','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {5995231201785697655,-6589312996832147161,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

hepatitis,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,16,0,0,100,0,0,1,0.006742,0.02307,2.103645,5.898273,11.184744,0.162166,11.022578,0.699046,0.010135,0.688911,11.022578,0.688911,1476.099848,1,3,0,0,1,13,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.005,0.002,0,0.01,0,10,6484,29429,6182,100,53.125,?,?,?,?
hepatitis,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,15,1,0,93.75,6.25,0,0.818182,0.084738,0.26251,26.441113,67.115795,11.184744,10.688236,0.496507,0.699046,0.668015,0.031032,7.613465,0.475842,1019.564929,1,3,0.076923,1,0.923077,12,0,0,0.75,1,0.857143,0.83205,1,1,0.9375,0.014423,0.985577,0.0625,0.953125,0.9375,0.940714,0.83205,1,1,0.908571,0.9375,0.002,0.001,0.01,0,10,0,6484,29429,6182,93.75,53.125,?,?,?,?
hepatitis,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,13,3,0,81.25,18.75,0,0.555556,0.234625,0.426166,73.210825,108.957741,11.184744,37.960616,-26.775873,0.699046,2.372539,-1.673492,1.071676,0.06698,143.51455,1,3,0.230769,3,0.769231,10,0,0,0.5,1,0.666667,0.620174,0.897436,0.588889,0.8125,0.043269,0.956731,0.1875,0.90625,0.8125,0.831522,0.620174,0.897436,0.90639,0.768116,0.8125,0.001,0.001,0,0,0,0,6484,29429,6182,87.5,62.5,?,?,?,?
hepatitis,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,12,4,0,75,25,0,0.428571,0.267416,0.47018,75.790328,108.018823,13.112639,20.196127,-7.083488,0.81954,1.262258,-0.442718,2.214958,0.138435,302.122827,0.75,3,0.25,3,0.75,9,0.25,1,0.5,0.75,0.6,0.447214,0.8125,0.725,0.75,0.25,0.75,0.25,0.8,0.75,0.763636,0.447214,0.8125,0.881282,0.709091,0.75,0.001,0.001,0,0,0,0,6484,29429,6182,87.5,68.75,?,?,?,?
hepatitis,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,13,3,0,81.25,18.75,0,0.538462,0.171077,0.383385,48.486023,88.078786,13.112639,21.835833,-8.723195,0.81954,1.36474,-0.5452,5.807162,0.362948,792.103772,0.75,3,0.166667,2,0.833333,10,0.25,1,0.6,0.75,0.666667,0.544949,0.854167,0.604167,0.8125,0.229167,0.770833,0.1875,0.831818,0.8125,0.818841,0.544949,0.854167,0.868277,0.768116,0.8125,0.001,0,0,0,0,0,6484,29429,6182,87.5,56.25,?,?,?,?
hepatitis,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,13,2,0,86.666667,13.333333,0,0.444444,0.125375,0.330931,38.368996,82.699893,10.837276,13.328833,-2.491557,0.722485,0.888589,-0.166104,5.870367,0.391358,789.135225,0.333333,1,0,0,1,12,0.666667,2,1,0.333333,0.5,0.534522,0.861111,0.791667,0.866667,0.533333,0.466667,0.133333,0.885714,0.866667,0.838462,0.534522,0.861111,0.927515,0.711538,0.866667,0.001,0,0,0,0,0,6484,29618,5993,93.333333,53.333333,?,?,?,?
hepatitis,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,11,4,0,73.333333,26.666667,0,-0.111111,0.270591,0.459943,82.810025,114.940211,10.837276,17.094693,-6.257417,0.722485,1.139646,-0.417161,0.226865,0.015124,30.49674,0,0,0.083333,1,0.916667,11,1,3,0,0,0,-0.133631,0.75,0.425,0.733333,0.816667,0.183333,0.266667,0.628571,0.733333,0.676923,-0.133631,0.75,0.836225,0.423077,0.733333,0.001,0,0,0,0,0,6484,29618,5993,93.333333,66.666667,?,?,?,?
hepatitis,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,13,2,0,86.666667,13.333333,0,0.583333,0.119097,0.256498,36.447643,64.099014,10.837276,4.072108,6.765168,0.722485,0.271474,0.451011,6.709578,0.447305,901.947763,0.666667,2,0.083333,1,0.916667,11,0.333333,1,0.666667,0.666667,0.666667,0.583333,0.972222,0.916667,0.866667,0.283333,0.716667,0.133333,0.866667,0.866667,0.866667,0.583333,0.972222,0.978205,0.791667,0.866667,0.001,0.001,0,0,0,0,6484,29618,5993,100,66.666667,?,?,?,?
hepatitis,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,13,2,0,86.666667,13.333333,0,0.583333,0.184993,0.361082,56.61422,90.234809,10.837276,23.756023,-12.918747,0.722485,1.583735,-0.86125,3.189997,0.212666,428.821332,0.666667,2,0.083333,1,0.916667,11,0.333333,1,0.666667,0.666667,0.666667,0.583333,0.694444,0.738095,0.866667,0.283333,0.716667,0.133333,0.866667,0.866667,0.866667,0.583333,0.694444,0.83561,0.791667,0.866667,0.001,0,0,0,0,0,6484,29618,5993,93.333333,66.666667,?,?,?,?
